date,P_mm,PET_mm,water_balance
2000-01-31,51.6,14.25,37.35
2000-02-29,44.8,22.16,22.639999999999997
2000-03-31,82.0,31.74,50.260000000000005
2000-04-30,22.0,81.37,-59.370000000000005
2000-05-31,10.2,117.85,-107.64999999999999
2000-06-30,20.0,125.11,-105.11
2000-07-31,30.1,88.39,-58.29
2000-08-31,49.8,93.29,-43.49000000000001
2000-09-30,65.7,45.93,19.770000000000003
2000-10-31,21.7,27.95,-6.25
2000-11-30,24.8,14.99,9.81
2000-12-31,38.1,9.700000000000001,28.4
2001-01-31,31.0,7.3500000000000005,23.65
2001-02-28,23.400000000000002,16.97,6.430000000000003
2001-03-31,50.4,25.03,25.369999999999997
2001-04-30,39.7,56.13,-16.43
2001-05-31,40.5,104.2,-63.7
2001-06-30,46.2,85.03,-38.83
2001-07-31,35.1,115.56,-80.46000000000001
2001-08-31,32.7,95.2,-62.5
2001-09-30,128.3,36.07,92.23000000000002
2001-10-31,41.300000000000004,25.99,15.310000000000006
2001-11-30,29.6,14.379999999999999,15.220000000000002
2001-12-31,43.4,10.36,33.04
2002-01-31,40.9,19.55,21.349999999999998
2002-02-28,84.1,23.28,60.81999999999999
2002-03-31,51.9,37.44,14.46
2002-04-30,60.5,54.58,5.920000000000002
2002-05-31,65.6,88.14,-22.540000000000006
2002-06-30,43.9,102.66,-58.76
2002-07-31,68.0,107.02,-39.019999999999996
2002-08-31,167.4,92.46,74.94000000000001
2002-09-30,52.1,52.57,-0.46999999999999886
2002-10-31,90.3,24.62,65.67999999999999
2002-11-30,60.8,9.63,51.169999999999995
2002-12-31,7.9,10.25,-2.3499999999999996
2003-01-31,54.3,10.15,44.15
2003-02-28,6.8,14.12,-7.319999999999999
2003-03-31,18.3,41.22,-22.919999999999998
2003-04-30,20.3,81.08,-60.78
2003-05-31,35.1,116.47,-81.37
2003-06-30,54.8,129.82,-75.02
2003-07-31,95.0,113.21,-18.209999999999994
2003-08-31,42.0,96.2,-54.2
2003-09-30,46.1,61.33,-15.229999999999997
2003-10-31,39.5,20.43,19.07
2003-11-30,27.900000000000002,11.86,16.040000000000003
2003-12-31,40.2,15.8,24.400000000000002
2004-01-31,59.6,10.23,49.370000000000005
2004-02-29,37.4,18.66,18.74
2004-03-31,23.6,43.55,-19.949999999999996
2004-04-30,26.8,73.74,-46.94
2004-05-31,42.8,89.09,-46.290000000000006
2004-06-30,55.2,94.56,-39.36
2004-07-31,107.2,103.39,3.8100000000000023
2004-08-31,33.3,98.59,-65.29
2004-09-30,37.4,61.15,-23.75
2004-10-31,20.7,28.08,-7.379999999999999
2004-11-30,61.8,11.55,50.25
2004-12-31,31.5,10.28,21.22
2005-01-31,33.7,19.28,14.420000000000002
2005-02-28,38.9,11.15,27.75
2005-03-31,12.200000000000001,36.22,-24.019999999999996
2005-04-30,9.4,77.15,-67.75
2005-05-31,79.6,91.35,-11.75
2005-06-30,43.9,110.07000000000001,-66.17000000000002
2005-07-31,122.39999999999999,103.64,18.75999999999999
2005-08-31,57.9,81.0,-23.1
2005-09-30,30.5,58.839999999999996,-28.339999999999996
2005-10-31,35.0,29.74,5.260000000000002
2005-11-30,17.0,10.21,6.789999999999999
2005-12-31,53.0,7.06,45.94
2006-01-31,12.8,6.11,6.69
2006-02-28,23.9,10.39,13.509999999999998
2006-03-31,31.7,23.43,8.27
2006-04-30,40.8,63.94,-23.14
2006-05-31,43.5,103.17,-59.67
2006-06-30,18.0,116.92,-98.92
2006-07-31,25.2,157.09,-131.89000000000001
2006-08-31,70.39999999999999,81.82,-11.420000000000002
2006-09-30,17.5,77.36,-59.86
2006-10-31,25.5,31.83,-6.329999999999998
2006-11-30,29.5,17.759999999999998,11.740000000000002
2006-12-31,24.3,18.16,6.140000000000001
2007-01-31,100.0,27.02,72.98
2007-02-28,48.0,16.23,31.77
2007-03-31,50.0,45.23,4.770000000000003
2007-04-30,1.4000000000000001,90.05,-88.64999999999999
2007-05-31,108.1,102.61,5.489999999999995
2007-06-30,43.6,107.53,-63.93
2007-07-31,98.2,105.77,-7.569999999999993
2007-08-31,91.3,87.66,3.6400000000000006
2007-09-30,69.2,49.44,19.760000000000005
2007-10-31,5.8999999999999995,24.25,-18.35
2007-11-30,45.2,12.46,32.74
2007-12-31,29.3,13.49,15.81
2008-01-31,94.0,17.61,76.39
2008-02-29,22.3,24.669999999999998,-2.3699999999999974
2008-03-31,62.1,40.05,22.050000000000004
2008-04-30,89.7,57.89,31.810000000000002
2008-05-31,4.4,114.91,-110.50999999999999
2008-06-30,26.8,134.09,-107.29
2008-07-31,40.5,123.11,-82.61
2008-08-31,64.9,95.93,-31.03
2008-09-30,55.4,49.93,5.469999999999999
2008-10-31,57.9,22.79,35.11
2008-11-30,26.099999999999998,14.889999999999999,11.209999999999999
2008-12-31,30.5,9.03,21.47
2009-01-31,14.100000000000001,5.79,8.310000000000002
2009-02-28,30.4,11.08,19.32
2009-03-31,37.4,31.46,5.939999999999998
2009-04-30,8.2,95.81,-87.61
2009-05-31,96.7,90.21,6.490000000000009
2009-06-30,74.8,90.71,-15.909999999999997
2009-07-31,95.1,110.34,-15.240000000000009
2009-08-31,24.099999999999998,106.39,-82.29
2009-09-30,38.9,57.91,-19.009999999999998
2009-10-31,72.9,18.1,54.800000000000004
2009-11-30,64.7,16.3,48.400000000000006
2009-12-31,41.9,5.77,36.129999999999995
2010-01-31,20.0,6.33,13.67
2010-02-28,15.899999999999999,12.280000000000001,3.6199999999999974
2010-03-31,30.9,34.19,-3.289999999999999
2010-04-30,22.1,73.44,-51.339999999999996
2010-05-31,90.3,57.63,32.669999999999995
2010-06-30,3.6,110.36,-106.76
2010-07-31,129.5,132.77,-3.2700000000000102
2010-08-31,204.7,75.08,129.62
2010-09-30,78.8,40.49,38.309999999999995
2010-10-31,24.5,25.31,-0.8099999999999987
2010-11-30,101.2,10.07,91.13
2010-12-31,41.7,5.73,35.97
2011-01-31,25.0,8.49,16.509999999999998
2011-02-28,32.8,18.83,13.969999999999999
2011-03-31,18.0,42.99,-24.990000000000002
2011-04-30,13.5,86.2,-72.7
2011-05-31,23.700000000000003,114.35000000000001,-90.65
2011-06-30,55.9,119.6,-63.699999999999996
2011-07-31,233.5,85.64,147.86
2011-08-31,48.6,88.54,-39.940000000000005
2011-09-30,88.4,56.57,31.830000000000005
2011-10-31,26.9,26.490000000000002,0.4099999999999966
2011-11-30,0.6,8.35,-7.75
2011-12-31,56.9,17.2,39.7
2012-01-31,60.2,14.9,45.300000000000004
2012-02-29,27.7,15.18,12.52
2012-03-31,20.6,45.94,-25.339999999999996
2012-04-30,25.3,75.85,-50.55
2012-05-31,52.6,112.76,-60.160000000000004
2012-06-30,74.7,96.58,-21.879999999999995
2012-07-31,88.6,100.58,-11.980000000000004
2012-08-31,43.599999999999994,92.19,-48.59
2012-09-30,25.099999999999998,58.41,-33.31
2012-10-31,21.9,23.77,-1.870000000000001
2012-11-30,54.8,8.91,45.89
2012-12-31,22.6,8.76,13.840000000000002
2013-01-31,39.5,8.129999999999999,31.37
2013-02-28,24.6,8.06,16.54
2013-03-31,18.8,23.7,-4.899999999999999
2013-04-30,22.4,66.37,-43.970000000000006
2013-05-31,88.5,89.59,-1.0900000000000034
2013-06-30,78.4,106.6,-28.19999999999999
2013-07-31,41.3,123.66,-82.36
2013-08-31,47.6,96.04,-48.440000000000005
2013-09-30,39.7,43.82,-4.119999999999997
2013-10-31,41.5,29.75,11.75
2013-11-30,45.3,10.46,34.839999999999996
2013-12-31,24.8,14.41,10.39
2014-01-31,28.0,10.73,17.27
2014-02-28,14.7,22.64,-7.940000000000001
2014-03-31,21.5,43.92,-22.42
2014-04-30,29.9,68.76,-38.86000000000001
2014-05-31,95.5,90.05,5.450000000000003
2014-06-30,48.7,101.7,-53.0
2014-07-31,88.1,132.61,-44.51000000000002
2014-08-31,132.0,89.22,42.78
2014-09-30,19.6,53.15,-33.55
2014-10-31,38.9,22.580000000000002,16.319999999999997
2014-11-30,6.300000000000001,9.7,-3.3999999999999986
2014-12-31,37.5,11.61,25.89
2015-01-31,64.5,15.04,49.46
2015-02-28,5.2,15.870000000000001,-10.670000000000002
