date,NAO,year,month
2000-01-01,0.19,2000,1
2000-02-01,1.48,2000,2
2000-03-01,0.4,2000,3
2000-04-01,-0.18,2000,4
2000-05-01,1.52,2000,5
2000-06-01,0.28,2000,6
2000-07-01,-1.0,2000,7
2000-08-01,-0.5,2000,8
2000-09-01,-0.06,2000,9
2000-10-01,1.51,2000,10
2000-11-01,-1.1,2000,11
2000-12-01,-0.63,2000,12
2001-01-01,-0.22,2001,1
2001-02-01,0.07,2001,2
2001-03-01,-1.73,2001,3
2001-04-01,-0.15,2001,4
2001-05-01,0.03,2001,5
2001-06-01,0.11,2001,6
2001-07-01,-0.22,2001,7
2001-08-01,-0.22,2001,8
2001-09-01,-0.49,2001,9
2001-10-01,0.25,2001,10
2001-11-01,0.53,2001,11
2001-12-01,-0.86,2001,12
2002-01-01,0.0,2002,1
2002-02-01,0.8,2002,2
2002-03-01,0.32,2002,3
2002-04-01,1.14,2002,4
2002-05-01,-0.15,2002,5
2002-06-01,0.69,2002,6
2002-07-01,0.65,2002,7
2002-08-01,0.36,2002,8
2002-09-01,-0.54,2002,9
2002-10-01,-1.97,2002,10
2002-11-01,-0.32,2002,11
2002-12-01,-0.96,2002,12
2003-01-01,-0.32,2003,1
2003-02-01,0.26,2003,2
2003-03-01,-0.07,2003,3
2003-04-01,-0.34,2003,4
2003-05-01,0.06,2003,5
2003-06-01,0.24,2003,6
2003-07-01,0.16,2003,7
2003-08-01,-0.22,2003,8
2003-09-01,0.16,2003,9
2003-10-01,-0.86,2003,10
2003-11-01,0.77,2003,11
2003-12-01,0.5,2003,12
2004-01-01,-0.85,2004,1
2004-02-01,-0.6,2004,2
2004-03-01,0.67,2004,3
2004-04-01,1.11,2004,4
2004-05-01,0.23,2004,5
2004-06-01,-0.59,2004,6
2004-07-01,1.16,2004,7
2004-08-01,-0.74,2004,8
2004-09-01,0.52,2004,9
2004-10-01,-0.69,2004,10
2004-11-01,0.63,2004,11
2004-12-01,1.03,2004,12
2005-01-01,1.26,2005,1
2005-02-01,-0.51,2005,2
2005-03-01,-2.32,2005,3
2005-04-01,-0.47,2005,4
2005-05-01,-1.11,2005,5
2005-06-01,0.26,2005,6
2005-07-01,-0.48,2005,7
2005-08-01,0.35,2005,8
2005-09-01,0.76,2005,9
2005-10-01,-0.55,2005,10
2005-11-01,-0.46,2005,11
2005-12-01,-0.5,2005,12
2006-01-01,0.97,2006,1
2006-02-01,-1.02,2006,2
2006-03-01,-1.75,2006,3
2006-04-01,1.2,2006,4
2006-05-01,-1.01,2006,5
2006-06-01,1.15,2006,6
2006-07-01,0.93,2006,7
2006-08-01,-2.35,2006,8
2006-09-01,-1.43,2006,9
2006-10-01,-1.92,2006,10
2006-11-01,0.33,2006,11
2006-12-01,1.15,2006,12
2007-01-01,-0.25,2007,1
2007-02-01,-0.98,2007,2
2007-03-01,1.11,2007,3
2007-04-01,0.04,2007,4
2007-05-01,0.66,2007,5
2007-06-01,-1.01,2007,6
2007-07-01,-0.55,2007,7
2007-08-01,-0.31,2007,8
2007-09-01,0.85,2007,9
2007-10-01,1.0,2007,10
2007-11-01,0.48,2007,11
2007-12-01,0.23,2007,12
2008-01-01,0.53,2008,1
2008-02-01,0.38,2008,2
2008-03-01,-0.32,2008,3
2008-04-01,-1.31,2008,4
2008-05-01,-1.55,2008,5
2008-06-01,-1.09,2008,6
2008-07-01,-1.24,2008,7
2008-08-01,-1.62,2008,8
2008-09-01,1.14,2008,9
2008-10-01,0.47,2008,10
2008-11-01,-0.47,2008,11
2008-12-01,-0.35,2008,12
2009-01-01,-0.52,2009,1
2009-02-01,-0.38,2009,2
2009-03-01,0.19,2009,3
2009-04-01,-0.36,2009,4
2009-05-01,1.61,2009,5
2009-06-01,-0.91,2009,6
2009-07-01,-2.11,2009,7
2009-08-01,-0.37,2009,8
2009-09-01,1.62,2009,9
2009-10-01,-0.61,2009,10
2009-11-01,-0.16,2009,11
2009-12-01,-1.88,2009,12
2010-01-01,-1.8,2010,1
2010-02-01,-2.69,2010,2
2010-03-01,-1.33,2010,3
2010-04-01,-0.93,2010,4
2010-05-01,-1.33,2010,5
2010-06-01,-0.52,2010,6
2010-07-01,-0.39,2010,7
2010-08-01,-1.69,2010,8
2010-09-01,-0.62,2010,9
2010-10-01,-0.5,2010,10
2010-11-01,-1.84,2010,11
2010-12-01,-1.8,2010,12
2011-01-01,-1.53,2011,1
2011-02-01,0.35,2011,2
2011-03-01,0.24,2011,3
2011-04-01,2.55,2011,4
2011-05-01,-0.01,2011,5
2011-06-01,-0.98,2011,6
2011-07-01,-1.48,2011,7
2011-08-01,-1.85,2011,8
2011-09-01,0.67,2011,9
2011-10-01,0.94,2011,10
2011-11-01,1.3,2011,11
2011-12-01,2.25,2011,12
2012-01-01,0.86,2012,1
2012-02-01,0.03,2012,2
2012-03-01,0.93,2012,3
2012-04-01,0.37,2012,4
2012-05-01,-0.79,2012,5
2012-06-01,-2.25,2012,6
2012-07-01,-1.29,2012,7
2012-08-01,-1.39,2012,8
2012-09-01,-0.43,2012,9
2012-10-01,-1.73,2012,10
2012-11-01,-0.74,2012,11
2012-12-01,0.07,2012,12
2013-01-01,-0.11,2013,1
2013-02-01,-0.96,2013,2
2013-03-01,-2.09,2013,3
2013-04-01,0.6,2013,4
2013-05-01,0.58,2013,5
2013-06-01,0.83,2013,6
2013-07-01,0.7,2013,7
2013-08-01,1.12,2013,8
2013-09-01,0.38,2013,9
2013-10-01,-0.88,2013,10
2013-11-01,0.81,2013,11
2013-12-01,0.79,2013,12
2014-01-01,-0.17,2014,1
2014-02-01,1.07,2014,2
2014-03-01,0.44,2014,3
2014-04-01,0.19,2014,4
2014-05-01,-0.8,2014,5
2014-06-01,-0.67,2014,6
2014-07-01,0.21,2014,7
2014-08-01,-2.28,2014,8
2014-09-01,1.72,2014,9
2014-10-01,-0.87,2014,10
2014-11-01,0.58,2014,11
2014-12-01,1.63,2014,12
2015-01-01,1.57,2015,1
2015-02-01,1.05,2015,2
2015-03-01,1.12,2015,3
2015-04-01,0.64,2015,4
2015-05-01,0.19,2015,5
