SoilLayer,LandUse,r,p,slope
Upper (0-10cm),Agroforest,-0.508874217,0.009382926,-0.23942441
Upper (0-10cm),Broadleaf,-0.50604875,0.009852177,-0.277972074
Upper (0-10cm),Conifer,-0.512332569,0.008834006,-0.305207051
Upper (0-10cm),Crop,-0.550720736,0.004332975,-0.254148056
Upper (0-10cm),Grassland,-0.523498611,0.007240834,-0.256153634
Lower (10-30cm),Agroforest,-0.42425476,0.034542093,-0.146067797
Lower (10-30cm),Broadleaf,-0.451388693,0.023516818,-0.169074615
Lower (10-30cm),Conifer,-0.467497065,0.018453352,-0.184934946
Lower (10-30cm),Crop,-0.401623424,0.046590939,-0.122375625
Lower (10-30cm),Grassland,-0.413881596,0.039712154,-0.135484477
Deep (30-100cm),Agroforest,-0.547532676,0.004611674,-0.160835667
Deep (30-100cm),Broadleaf,-0.539219153,0.005410496,-0.179904264
Deep (30-100cm),Conifer,-0.541146714,0.00521562,-0.208373181
Deep (30-100cm),Crop,-0.469031208,0.018021627,-0.053727285
Deep (30-100cm),Grassland,-0.534744199,0.00588665,-0.152943749
