date,P_mm,NR_WM2,Air_Temp_oC,RH_Perc,LAI,PET_mm,Upper_SM_mm,Medium_SM_mm,Lower_SM_mm,ThroughFall_Threshold,Sapflux,P_D,Upper_2H,Medium_2H,Lower_2H,Upper_T,Medium_T,Lower_T
2000-01-01,1.9,-0.46,-0.1,0.95,0.0,0.09,,,,4.5,67.33,-49.88,,,,,,
2000-01-02,0.1,6.93,3.2,0.93,0.0,0.23,,,,4.5,59.93,-70.63,,,,,,
2000-01-03,0.0,4.59,5.4,0.88,0.0,0.44,,,,4.5,55.54,,,,,,,
2000-01-04,3.5,2.32,4.9,0.92,0.0,0.3,,,,4.5,64.05,-66.48,,,,,,
2000-01-05,0.0,-18.95,2.4,0.79,0.0,0.73,,,,4.5,85.53,,,,,,,
2000-01-06,1.2,-34.93,1.4,0.87,0.0,0.35,,,,4.5,84.46,-96.18,,,,,,
2000-01-07,0.0,-1.44,3.8,0.96,0.0,0.1,,,,4.5,93.08,,,,,,,
2000-01-08,0.3,-3.65,3.9,0.86,0.0,0.41,,,,4.5,93.97,-74.27,,,,,,
2000-01-09,0.0,2.0,3.6,0.93,0.0,0.16,,,,4.5,65.3,,,,,,,
2000-01-10,0.0,-0.34,1.5,0.91,0.0,0.16,,,,4.5,58.49,,,,,,,
2000-01-11,0.0,-27.98,-0.8,0.87,0.0,0.28,,,,4.5,56.73,,,,,,,
2000-01-12,0.0,-39.09,-1.6,0.82,0.0,0.43,,,,4.5,53.29,,,,,,,
2000-01-13,0.0,-40.01,-3.6,0.77,0.0,0.5,,,,4.5,63.14,,,,,,,
2000-01-14,0.0,-15.13,-1.3,0.79,0.0,0.34,,,,4.5,99.86,,,,,,,
2000-01-15,0.0,-8.91,-1.0,0.88,0.0,0.19,,,,4.5,96.01,,,,,,,
2000-01-16,1.4,-8.26,1.8,0.97,0.0,0.07,,,,4.5,91.21,-65.91,,,,,,
2000-01-17,5.6,-3.83,7.0,0.83,0.0,0.82,,,,4.5,69.07,-48.97,,,,,,
2000-01-18,0.5,-21.45,2.7,0.66,0.0,1.53,,,,4.5,68.98,-65.27,,,,,,
2000-01-19,0.6,-39.59,0.1,0.76,0.0,0.76,,,,4.5,54.07,-60.23,,,,,,
2000-01-20,10.5,-11.53,3.2,0.94,0.0,0.2,,,,4.5,64.11,-73.61,,,,,,
2000-01-21,0.0,-25.95,-3.5,0.74,0.0,0.81,,,,4.5,52.11,,,,,,,
2000-01-22,0.5,-20.86,-4.4,0.88,0.0,0.23,,,,4.5,67.94,-80.45,,,,,,
2000-01-23,0.1,-39.81,-9.4,0.79,0.0,0.25,,,,4.5,85.83,-57.17,,,,,,
2000-01-24,0.0,-23.36,-5.1,0.74,0.0,0.35,,,,4.5,96.91,,,,,,,
2000-01-25,0.3,-23.03,-6.6,0.8,0.0,0.25,,,,4.5,94.24,-70.96,,,,,,
2000-01-26,0.4,5.55,1.1,0.95,0.0,0.17,,,,4.5,81.08,-105.17,,,,,,
2000-01-27,0.1,4.18,1.9,0.96,0.0,0.17,,,,4.5,94.93,-54.11,,,,,,
2000-01-28,0.2,5.37,1.6,0.71,0.0,1.05,,,,4.5,95.21,-37.73,,,,,,
2000-01-29,12.0,-11.86,5.0,0.9,0.0,0.43,,,,4.5,76.35,-77.53,,,,,,
2000-01-30,6.6,-17.76,3.3,0.76,0.0,1.04,,,,4.5,68.17,-41.62,,,,,,
2000-01-31,3.9,-0.27,7.2,0.75,0.0,1.32,,,,4.5,70.4,-49.57,,,,,,
2000-02-01,1.6,-2.26,8.7,0.76,0.0,1.22,,,,4.5,80.36,-87.59,,,,,,
2000-02-02,3.5,-11.99,5.9,0.89,0.0,0.46,,,,4.5,70.56,-115.18,,,,,,
2000-02-03,0.0,-25.78,3.9,0.67,0.0,1.35,,,,4.5,65.33,,,,,,,
2000-02-04,2.4,-2.35,5.1,0.94,0.0,0.21,,,,4.5,92.43,-107.84,,,,,,
2000-02-05,0.1,-2.22,6.7,0.91,0.0,0.39,,,,4.5,86.93,-141.55,,,,,,
2000-02-06,0.0,-10.82,7.2,0.77,0.0,0.74,,,,4.5,90.43,,,,,,,
2000-02-07,0.0,-22.04,7.1,0.74,0.0,1.01,,,,4.5,56.55,,,,,,,
2000-02-08,6.4,15.6,8.4,0.77,0.0,1.25,,,,4.5,57.37,-59.09,,,,,,
2000-02-09,11.1,-1.62,5.3,0.68,0.0,1.62,,,,4.5,68.58,-97.44,,,,,,
2000-02-10,3.5,-2.18,6.4,0.71,0.0,1.19,,,,4.5,81.37,-107.03,,,,,,
2000-02-11,0.1,5.24,3.7,0.82,0.0,0.64,,,,4.5,97.24,-48.85,,,,,,
2000-02-12,0.4,4.28,2.4,0.73,0.0,0.88,,,,4.5,85.43,-73.75,,,,,,
2000-02-13,2.3,-12.65,1.7,0.92,0.0,0.24,,,,4.5,99.45,-75.74,,,,,,
2000-02-14,0.7,1.17,1.2,0.78,0.0,0.72,,,,4.5,90.02,-117.62,,,,,,
2000-02-15,1.6,-7.64,4.5,0.84,0.0,0.52,,,,4.5,99.62,-103.03,,,,,,
2000-02-16,1.4,-11.25,2.3,0.84,0.0,0.52,,,,4.5,58.02,-125.88,,,,,,
2000-02-17,0.1,1.83,0.6,0.84,0.0,0.46,,,,4.5,64.74,-82.96,,,,,,
2000-02-18,0.2,9.73,2.1,0.79,0.0,0.67,,,,4.5,94.71,-86.5,,,,,,
2000-02-19,0.2,11.43,1.4,0.93,0.0,0.28,,,,4.5,81.05,-85.95,,,,,,
2000-02-20,0.0,12.92,1.0,0.78,0.0,0.63,,,,4.5,77.41,,,,,,,
2000-02-21,0.0,0.89,-2.0,0.84,0.0,0.28,,,,4.5,98.27,,,,,,,
2000-02-22,0.8,17.97,-0.3,0.9,0.0,0.33,,,,4.5,99.5,-82.97,,,,,,
2000-02-23,1.4,7.5,1.1,0.97,0.0,0.12,,,,4.5,79.8,-106.51,,,,,,
2000-02-24,2.4,7.81,3.4,0.92,0.0,0.32,,,,4.5,71.01,-121.37,,,,,,
2000-02-25,1.3,10.29,2.8,0.93,0.0,0.3,,,,4.5,88.49,-77.52,,,,,,
2000-02-26,0.0,21.12,4.8,0.84,0.0,0.69,,,,4.5,91.69,,,,,,,
2000-02-27,0.0,24.77,5.2,0.72,0.0,1.27,,,,4.5,87.17,,,,,,,
2000-02-28,1.6,31.37,10.4,0.65,0.0,2.62,,,,4.5,53.97,-81.58,,,,,,
2000-02-29,1.7,23.32,6.6,0.76,0.0,1.23,,,,4.5,68.21,-78.75,,,,,,
2000-03-01,2.3,24.94,5.6,0.81,0.0,1.02,,,,4.5,91.12,-75.91,,,,,,
2000-03-02,6.4,25.17,3.8,0.66,0.0,1.61,,,,4.5,50.58,-74.62,,,,,,
2000-03-03,1.1,-3.68,5.2,0.84,0.0,0.77,,,,4.5,98.64,-72.48,,,,,,
2000-03-04,1.1,21.65,1.4,0.75,0.0,1.09,,,,4.5,61.61,-76.27,,,,,,
2000-03-05,0.0,30.97,1.5,0.77,0.0,1.05,,,,4.5,58.91,,,,,,,
2000-03-06,0.0,27.23,5.9,0.68,0.0,1.5,,,,4.5,58.44,,,,,,,
2000-03-07,3.8,12.76,8.7,0.79,0.0,1.28,,,,4.5,50.52,-64.04,,,,,,
2000-03-08,4.1,7.0,10.2,0.93,0.0,0.44,,,,4.5,86.49,-72.59,,,,,,
2000-03-09,13.3,11.68,7.1,0.89,0.0,0.68,,,,4.5,53.28,-68.04,,,,,,
2000-03-10,2.5,40.99,1.9,0.72,0.0,1.18,,,,4.5,99.56,-70.42,,,,,,
2000-03-11,3.1,32.31,4.8,0.85,0.0,1.0,,,,4.5,79.28,-61.62,,,,,,
