date,LAI_1,LAI_2,LAI_3
1/1/2000,0,0,3.85
1/2/2000,0,0,3.88
1/3/2000,0,0,3.9
1/4/2000,0,0,3.93
1/5/2000,0,0,3.96
1/6/2000,0,0,3.98
1/7/2000,0,0,4.01
1/8/2000,0,0,4.04
1/9/2000,0,0,4.06
1/10/2000,0,0,4.07
1/11/2000,0,0,4.07
1/12/2000,0,0,4.07
1/13/2000,0,0,4.07
1/14/2000,0,0,4.07
1/15/2000,0,0,4.07
1/16/2000,0,0,4.07
1/17/2000,0,0,4.07
1/18/2000,0,0,4.07
1/19/2000,0,0,4.06
1/20/2000,0,0,4.05
1/21/2000,0,0,4.04
1/22/2000,0,0,4.04
1/23/2000,0,0,4.03
1/24/2000,0,0,4.02
1/25/2000,0,0,4.01
1/26/2000,0,0,4.01
1/27/2000,0,0,4.01
1/28/2000,0,0,4.01
1/29/2000,0,0,4
1/30/2000,0,0,4
1/31/2000,0,0,4
2/1/2000,0,0,4
2/2/2000,0,0,4
2/3/2000,0,0,3.99
2/4/2000,0,0,3.98
2/5/2000,0,0,3.96
2/6/2000,0,0,3.95
2/7/2000,0,0,3.94
2/8/2000,0,0,3.93
2/9/2000,0,0,3.92
2/10/2000,0,0,3.91
2/11/2000,0,0,3.91
2/12/2000,0,0,3.91
2/13/2000,0,0,3.91
2/14/2000,0,0,3.9
2/15/2000,0,0,3.9
2/16/2000,0,0,3.9
2/17/2000,0,0,3.9
2/18/2000,0,0,3.89
2/19/2000,0,0,3.89
2/20/2000,0,0,3.89
2/21/2000,0,0,3.89
2/22/2000,0,0,3.89
2/23/2000,0,0,3.9
2/24/2000,0,0,3.9
2/25/2000,0,0,3.9
2/26/2000,0,0,3.9
2/27/2000,0,0,3.89
2/28/2000,0,0,3.89
2/29/2000,0,0,3.89
3/1/2000,0,0,3.89
3/2/2000,0,0,3.89
3/3/2000,0,0,3.89
3/4/2000,0,0,3.88
3/5/2000,0,0,3.88
3/6/2000,0,0,3.88
3/7/2000,0,0,3.88
3/8/2000,0,0,3.88
3/9/2000,0,0,3.88
3/10/2000,0,0,3.88
3/11/2000,0,0,3.88
3/12/2000,0,0,3.88
3/13/2000,0,0,3.88
3/14/2000,0,0,3.89
3/15/2000,0,0,3.9
3/16/2000,0,0,3.91
3/17/2000,0,0,3.92
3/18/2000,0,0,3.93
3/19/2000,0,0,3.94
3/20/2000,0,0,3.95
3/21/2000,0,0,3.96
3/22/2000,0,0,3.96
3/23/2000,0,0,3.97
3/24/2000,0,0,3.97
3/25/2000,0,0,3.97
3/26/2000,0,0,3.97
3/27/2000,0,0,3.98
3/28/2000,0,0,3.98
3/29/2000,0,0,3.98
3/30/2000,0,0,3.98
3/31/2000,0,0,3.99
4/1/2000,1.11,1.16,3.99
4/2/2000,1.12,1.16,4
4/3/2000,1.13,1.15,4
4/4/2000,1.14,1.15,4.01
4/5/2000,1.15,1.14,4.01
4/6/2000,1.16,1.13,4.02
4/7/2000,1.26,1.18,4.01
4/8/2000,1.36,1.22,4.01
4/9/2000,1.46,1.26,4.01
4/10/2000,1.57,1.3,4.01
4/11/2000,1.67,1.34,4.01
4/12/2000,1.77,1.38,4.01
