date,P_mm,NR_WM2,Air_Temp_oC,RH_Perc,LAI,PET_mm,Upper_SM_mm,Medium_SM_mm,Lower_SM_mm,ThroughFall_Threshold,Sapflux,P_D,Upper_2H,Medium_2H,Lower_2H,Upper_T,Medium_T,Lower_T
1/1/2000,1.9,-0.46,-0.1,0.95,0.93,0.09,,,,4.5,96.28,-49.88,,,,,,
1/2/2000,0.1,6.93,3.2,0.93,0.91,0.23,,,,4.5,82.18,-70.63,,,,,,
1/3/2000,0,4.59,5.4,0.88,0.89,0.44,,,,4.5,94.69,,,,,,,
1/4/2000,3.5,2.32,4.9,0.92,0.87,0.3,,,,4.5,73.44,-66.48,,,,,,
1/5/2000,0,-18.95,2.4,0.79,0.86,0.73,,,,4.5,70.37,,,,,,,
1/6/2000,1.2,-34.93,1.4,0.87,0.84,0.35,,,,4.5,74.29,-96.18,,,,,,
1/7/2000,0,-1.44,3.8,0.96,0.82,0.1,,,,4.5,77.09,,,,,,,
1/8/2000,0.3,-3.65,3.9,0.86,0.8,0.41,,,,4.5,93.52,-74.27,,,,,,
1/9/2000,0,2,3.6,0.93,0.78,0.16,,,,4.5,56.41,,,,,,,
1/10/2000,0,-0.34,1.5,0.91,0.72,0.16,,,,4.5,99.94,,,,,,,
1/11/2000,0,-27.98,-0.8,0.87,0.66,0.28,,,,4.5,78.72,,,,,,,
1/12/2000,0,-39.09,-1.6,0.82,0.61,0.43,,,,4.5,63.99,,,,,,,
1/13/2000,0,-40.01,-3.6,0.77,0.55,0.5,,,,4.5,74.97,,,,,,,
1/14/2000,0,-15.13,-1.3,0.79,0.49,0.34,,,,4.5,83.64,,,,,,,
1/15/2000,0,-8.91,-1,0.88,0.43,0.19,,,,4.5,85.29,,,,,,,
1/16/2000,1.4,-8.26,1.8,0.97,0.37,0.07,,,,4.5,64.04,-65.91,,,,,,
1/17/2000,5.6,-3.83,7,0.83,0.31,0.82,,,,4.5,77.46,-48.97,,,,,,
1/18/2000,0.5,-21.45,2.7,0.66,0.43,1.53,,,,4.5,53.11,-65.27,,,,,,
1/19/2000,0.6,-39.59,0.1,0.76,0.55,0.76,,,,4.5,63.18,-60.23,,,,,,
1/20/2000,10.5,-11.53,3.2,0.94,0.67,0.2,,,,4.5,85.81,-73.61,,,,,,
1/21/2000,0,-25.95,-3.5,0.74,0.79,0.81,,,,4.5,66.42,,,,,,,
1/22/2000,0.5,-20.86,-4.4,0.88,0.91,0.23,,,,4.5,81.42,-80.45,,,,,,
1/23/2000,0.1,-39.81,-9.4,0.79,1.03,0.25,,,,4.5,86.48,-57.17,,,,,,
1/24/2000,0,-23.36,-5.1,0.74,1.15,0.35,,,,4.5,75.89,,,,,,,
1/25/2000,0.3,-23.03,-6.6,0.8,1.27,0.25,,,,4.5,54.21,-70.96,,,,,,
1/26/2000,0.4,5.55,1.1,0.95,1.19,0.17,,,,4.5,59.81,-105.17,,,,,,
1/27/2000,0.1,4.18,1.9,0.96,1.12,0.17,,,,4.5,73.78,-54.11,,,,,,
1/28/2000,0.2,5.37,1.6,0.71,1.05,1.05,,,,4.5,54.56,-37.73,,,,,,
1/29/2000,12,-11.86,5,0.9,0.98,0.43,,,,4.5,74.93,-77.53,,,,,,
1/30/2000,6.6,-17.76,3.3,0.76,0.91,1.04,,,,4.5,97.61,-41.62,,,,,,
1/31/2000,3.9,-0.27,7.2,0.75,0.84,1.32,,,,4.5,51.95,-49.57,,,,,,
2/1/2000,1.6,-2.26,8.7,0.76,0.77,1.22,,,,4.5,99.12,-87.59,,,,,,
2/2/2000,3.5,-11.99,5.9,0.89,0.7,0.46,,,,4.5,87.12,-115.18,,,,,,
2/3/2000,0,-25.78,3.9,0.67,0.7,1.35,,,,4.5,61.04,,,,,,,
2/4/2000,2.4,-2.35,5.1,0.94,0.71,0.21,,,,4.5,59.83,-107.84,,,,,,
2/5/2000,0.1,-2.22,6.7,0.91,0.71,0.39,,,,4.5,61.96,-141.55,,,,,,
2/6/2000,0,-10.82,7.2,0.77,0.72,0.74,,,,4.5,77.37,,,,,,,
2/7/2000,0,-22.04,7.1,0.74,0.72,1.01,,,,4.5,93.66,,,,,,,
2/8/2000,6.4,15.6,8.4,0.77,0.72,1.25,,,,4.5,56.24,-59.09,,,,,,
2/9/2000,11.1,-1.62,5.3,0.68,0.73,1.62,,,,4.5,93.11,-97.44,,,,,,
2/10/2000,3.5,-2.18,6.4,0.71,0.73,1.19,,,,4.5,59.72,-107.03,,,,,,
2/11/2000,0.1,5.24,3.7,0.82,0.7,0.64,,,,4.5,85.6,-48.85,,,,,,
2/12/2000,0.4,4.28,2.4,0.73,0.67,0.88,,,,4.5,68.3,-73.75,,,,,,
2/13/2000,2.3,-12.65,1.7,0.92,0.64,0.24,,,,4.5,51.62,-75.74,,,,,,
2/14/2000,0.7,1.17,1.2,0.78,0.61,0.72,,,,4.5,66.75,-117.62,,,,,,
2/15/2000,1.6,-7.64,4.5,0.84,0.58,0.52,,,,4.5,90.34,-103.03,,,,,,
2/16/2000,1.4,-11.25,2.3,0.84,0.55,0.52,,,,4.5,73.53,-125.88,,,,,,
2/17/2000,0.1,1.83,0.6,0.84,0.52,0.46,,,,4.5,98.35,-82.96,,,,,,
2/18/2000,0.2,9.73,2.1,0.79,0.49,0.67,,,,4.5,55.12,-86.5,,,,,,
2/19/2000,0.2,11.43,1.4,0.93,0.5,0.28,,,,4.5,50.75,-85.95,,,,,,
2/20/2000,0,12.92,1,0.78,0.5,0.63,,,,4.5,87.88,,,,,,,
2/21/2000,0,0.89,-2,0.84,0.51,0.28,,,,4.5,85.88,,,,,,,
