date,P_mm,NR_WM2,Air_Temp_oC,RH_Perc,LAI,PET_mm,Upper_SM_mm,Medium_SM_mm,Lower_SM_mm,ThroughFall_Threshold,Sapflux,P_D,Upper_2H,Medium_2H,Lower_2H,Upper_T,Medium_T,Lower_T
1/1/2000,1.9,-0.46,-0.1,0.95,0.82,0.09,,,,4.5,59.96,-49.88,,,,,,
1/2/2000,0.1,6.93,3.2,0.93,0.8,0.23,,,,4.5,76.98,-70.63,,,,,,
1/3/2000,0,4.59,5.4,0.88,0.77,0.44,,,,4.5,75.07,,,,,,,
1/4/2000,3.5,2.32,4.9,0.92,0.75,0.3,,,,4.5,60.22,-66.48,,,,,,
1/5/2000,0,-18.95,2.4,0.79,0.73,0.73,,,,4.5,83.66,,,,,,,
1/6/2000,1.2,-34.93,1.4,0.87,0.7,0.35,,,,4.5,50.38,-96.18,,,,,,
1/7/2000,0,-1.44,3.8,0.96,0.68,0.1,,,,4.5,50.45,,,,,,,
1/8/2000,0.3,-3.65,3.9,0.86,0.66,0.41,,,,4.5,78.42,-74.27,,,,,,
1/9/2000,0,2,3.6,0.93,0.63,0.16,,,,4.5,63.03,,,,,,,
1/10/2000,0,-0.34,1.5,0.91,0.66,0.16,,,,4.5,75.95,,,,,,,
1/11/2000,0,-27.98,-0.8,0.87,0.68,0.28,,,,4.5,76.09,,,,,,,
1/12/2000,0,-39.09,-1.6,0.82,0.7,0.43,,,,4.5,83.67,,,,,,,
1/13/2000,0,-40.01,-3.6,0.77,0.72,0.5,,,,4.5,81.33,,,,,,,
1/14/2000,0,-15.13,-1.3,0.79,0.75,0.34,,,,4.5,55.6,,,,,,,
1/15/2000,0,-8.91,-1,0.88,0.77,0.19,,,,4.5,89.42,,,,,,,
1/16/2000,1.4,-8.26,1.8,0.97,0.79,0.07,,,,4.5,82.4,-65.91,,,,,,
1/17/2000,5.6,-3.83,7,0.83,0.82,0.82,,,,4.5,78.59,-48.97,,,,,,
1/18/2000,0.5,-21.45,2.7,0.66,0.8,1.53,,,,4.5,67.95,-65.27,,,,,,
1/19/2000,0.6,-39.59,0.1,0.76,0.79,0.76,,,,4.5,91.59,-60.23,,,,,,
1/20/2000,10.5,-11.53,3.2,0.94,0.78,0.2,,,,4.5,87.68,-73.61,,,,,,
1/21/2000,0,-25.95,-3.5,0.74,0.77,0.81,,,,4.5,70.96,,,,,,,
1/22/2000,0.5,-20.86,-4.4,0.88,0.76,0.23,,,,4.5,92.17,-80.45,,,,,,
1/23/2000,0.1,-39.81,-9.4,0.79,0.75,0.25,,,,4.5,53.82,-57.17,,,,,,
1/24/2000,0,-23.36,-5.1,0.74,0.74,0.35,,,,4.5,59.26,,,,,,,
1/25/2000,0.3,-23.03,-6.6,0.8,0.73,0.25,,,,4.5,66.2,-70.96,,,,,,
1/26/2000,0.4,5.55,1.1,0.95,0.72,0.17,,,,4.5,71.32,-105.17,,,,,,
1/27/2000,0.1,4.18,1.9,0.96,0.71,0.17,,,,4.5,54.83,-54.11,,,,,,
1/28/2000,0.2,5.37,1.6,0.71,0.7,1.05,,,,4.5,67.96,-37.73,,,,,,
1/29/2000,12,-11.86,5,0.9,0.69,0.43,,,,4.5,92.3,-77.53,,,,,,
1/30/2000,6.6,-17.76,3.3,0.76,0.68,1.04,,,,4.5,72.64,-41.62,,,,,,
1/31/2000,3.9,-0.27,7.2,0.75,0.67,1.32,,,,4.5,58.6,-49.57,,,,,,
2/1/2000,1.6,-2.26,8.7,0.76,0.66,1.22,,,,4.5,72.71,-87.59,,,,,,
2/2/2000,3.5,-11.99,5.9,0.89,0.65,0.46,,,,4.5,93.31,-115.18,,,,,,
2/3/2000,0,-25.78,3.9,0.67,0.66,1.35,,,,4.5,88.29,,,,,,,
2/4/2000,2.4,-2.35,5.1,0.94,0.67,0.21,,,,4.5,67.98,-107.84,,,,,,
2/5/2000,0.1,-2.22,6.7,0.91,0.68,0.39,,,,4.5,55.83,-141.55,,,,,,
2/6/2000,0,-10.82,7.2,0.77,0.69,0.74,,,,4.5,96.45,,,,,,,
2/7/2000,0,-22.04,7.1,0.74,0.7,1.01,,,,4.5,54.38,,,,,,,
2/8/2000,6.4,15.6,8.4,0.77,0.71,1.25,,,,4.5,57.95,-59.09,,,,,,
2/9/2000,11.1,-1.62,5.3,0.68,0.72,1.62,,,,4.5,72.53,-97.44,,,,,,
2/10/2000,3.5,-2.18,6.4,0.71,0.73,1.19,,,,4.5,87.61,-107.03,,,,,,
2/11/2000,0.1,5.24,3.7,0.82,0.67,0.64,,,,4.5,69.85,-48.85,,,,,,
2/12/2000,0.4,4.28,2.4,0.73,0.61,0.88,,,,4.5,64.25,-73.75,,,,,,
2/13/2000,2.3,-12.65,1.7,0.92,0.56,0.24,,,,4.5,62.5,-75.74,,,,,,
2/14/2000,0.7,1.17,1.2,0.78,0.5,0.72,,,,4.5,95.91,-117.62,,,,,,
2/15/2000,1.6,-7.64,4.5,0.84,0.44,0.52,,,,4.5,88.79,-103.03,,,,,,
2/16/2000,1.4,-11.25,2.3,0.84,0.38,0.52,,,,4.5,88.34,-125.88,,,,,,
2/17/2000,0.1,1.83,0.6,0.84,0.32,0.46,,,,4.5,93.98,-82.96,,,,,,
2/18/2000,0.2,9.73,2.1,0.79,0.26,0.67,,,,4.5,92.71,-86.5,,,,,,
2/19/2000,0.2,11.43,1.4,0.93,0.3,0.28,,,,4.5,71.07,-85.95,,,,,,
2/20/2000,0,12.92,1,0.78,0.33,0.63,,,,4.5,90.76,,,,,,,
2/21/2000,0,0.89,-2,0.84,0.37,0.28,,,,4.5,63.48,,,,,,,
2/22/2000,0.8,17.97,-0.3,0.9,0.4,0.33,,,,4.5,66.13,-82.97,,,,,,
2/23/2000,1.4,7.5,1.1,0.97,0.44,0.12,,,,4.5,67.77,-106.51,,,,,,
2/24/2000,2.4,7.81,3.4,0.92,0.47,0.32,,,,4.5,83.13,-121.37,,,,,,
2/25/2000,1.3,10.29,2.8,0.93,0.51,0.3,,,,4.5,98.96,-77.52,,,,,,
2/26/2000,0,21.12,4.8,0.84,0.54,0.69,,,,4.5,99.89,,,,,,,
2/27/2000,0,24.77,5.2,0.72,0.56,1.27,,,,4.5,64.69,,,,,,,
2/28/2000,1.6,31.37,10.4,0.65,0.57,2.62,,,,4.5,99.38,-81.58,,,,,,
2/29/2000,1.7,23.32,6.6,0.76,0.59,1.23,,,,4.5,76.58,-78.75,,,,,,
3/1/2000,2.3,24.94,5.6,0.81,0.61,1.02,,,,4.5,99.71,-75.91,,,,,,
3/2/2000,6.4,25.17,3.8,0.66,0.62,1.61,,,,4.5,55.57,-74.62,,,,,,
3/3/2000,1.1,-3.68,5.2,0.84,0.64,0.77,,,,4.5,96.68,-72.48,,,,,,
3/4/2000,1.1,21.65,1.4,0.75,0.65,1.09,,,,4.5,58.24,-76.27,,,,,,
3/5/2000,0,30.97,1.5,0.77,0.67,1.05,,,,4.5,71.22,,,,,,,
3/6/2000,0,27.23,5.9,0.68,0.67,1.5,,,,4.5,82.13,,,,,,,
3/7/2000,3.8,12.76,8.7,0.79,0.68,1.28,,,,4.5,61.62,-64.04,,,,,,
3/8/2000,4.1,7,10.2,0.93,0.68,0.44,,,,4.5,89.63,-72.59,,,,,,
3/9/2000,13.3,11.68,7.1,0.89,0.68,0.68,,,,4.5,96.31,-68.04,,,,,,
3/10/2000,2.5,40.99,1.9,0.72,0.69,1.18,,,,4.5,87.01,-70.42,,,,,,
3/11/2000,3.1,32.31,4.8,0.85,0.69,1,,,,4.5,88.1,-61.62,,,,,,
3/12/2000,0.1,40.52,2.2,0.79,0.69,0.88,,,,4.5,73.77,-82.18,,,,,,
3/13/2000,1.2,24.72,6.6,0.8,0.7,0.94,,,,4.5,74.5,-63.15,,,,,,
3/14/2000,11,5.66,6.4,0.92,0.73,0.38,,,,4.5,98.96,-57.12,,,,,,
3/15/2000,3.8,54.2,3.5,0.61,0.77,2.01,,,,4.5,92.76,-70.79,,,,,,
3/16/2000,2.2,53.63,2.8,0.76,0.8,1.16,,,,4.5,77.63,-82.98,,,,,,
3/17/2000,0,37.95,1.4,0.7,0.83,1.18,,,,4.5,59,,,,,,,
3/18/2000,0,38.04,2.7,0.7,0.87,1.04,,,,4.5,89.11,,,,,,,
3/19/2000,0,39.3,2.6,0.68,0.9,1.45,,,,4.5,57.68,,,,,,,
3/20/2000,0,41.86,4.8,0.85,0.94,0.81,,,,4.5,50.12,,,,,,,
3/21/2000,0,29.03,4.8,0.86,0.97,0.78,,,,4.5,52.77,,,,,,,
3/22/2000,0,37.57,5.8,0.82,0.98,0.99,,,,4.5,97.38,,,,,,,
3/23/2000,0,57.76,4.9,0.81,1,1.22,,,,4.5,65.99,,,,,,,
3/24/2000,0,73.85,5.8,0.6,1.01,2.07,,,,4.5,74.61,,,,,,,
3/25/2000,0,39.88,7.9,0.8,1.02,1.19,,,,4.5,76.48,,,,,,,
3/26/2000,10.2,72.08,8.3,0.84,1.04,1.65,,,,4.5,90.41,-77.77,,,,,,
3/27/2000,3.9,7.3,4.6,0.94,1.05,0.28,,,,4.5,86.1,-82.36,,,,,,
3/28/2000,6.1,15.59,6,0.97,1.06,0.27,,,,4.5,86.8,-67.43,,,,,,
3/29/2000,0.2,16.23,6.7,0.91,1.07,0.51,,,,4.5,83.6,-78.64,,,,,,
3/30/2000,2.4,28.77,6,0.89,1.09,0.74,,,,4.5,59.87,-74.57,,,,,,
3/31/2000,3.2,39.89,5.2,0.96,1.1,0.57,,,,4.5,81.47,-52.03,,,,,,
4/1/2000,0,50.15,5.6,0.82,1.11,1.04,,,,4.5,63.16,,,,,,,
4/2/2000,0,89.59,7.1,0.77,1.12,1.92,,,,4.5,98.43,,,,,,,
4/3/2000,0,84.82,9.9,0.66,1.13,2.52,,,,4.5,64.79,,,,,,,
4/4/2000,2,9.35,7.5,0.96,1.14,0.22,,,,4.5,74.23,-19.47,,,,,,
4/5/2000,0,49.83,3.8,0.78,1.15,1.24,,,,4.5,80.44,,,,,,,
4/6/2000,0,101.33,6.1,0.58,1.16,2.53,,,,4.5,50.25,,,,,,,
4/7/2000,0,27.75,4.1,0.8,1.26,0.96,,,,4.5,90.7,,,,,,,
4/8/2000,0,78.99,5.9,0.73,1.36,1.58,,,,4.5,74.8,,,,,,,
4/9/2000,0,88.94,3.2,0.63,1.46,1.98,,,,4.5,95.77,,,,,,,
4/10/2000,0,83.06,5.2,0.64,1.57,2,,,,4.5,62.96,,,,,,,
4/11/2000,5.2,93.32,7.2,0.79,1.67,1.74,,,,4.5,94.1,-73.62,,,,,,
4/12/2000,10.1,48.55,6.9,0.91,1.77,0.86,,,,4.5,61.74,-49.84,,,,,,
4/13/2000,0.6,81.95,7.8,0.69,1.87,2.22,,,,4.5,90.44,-42.11,,,,,,
4/14/2000,0.6,62.87,8.1,0.8,1.97,1.5,,,,4.5,93.32,-59.18,,,,,,
4/15/2000,3.1,110.33,11.9,0.81,1.96,2.33,,,,4.5,95.12,-36.5,,,,,,
4/16/2000,0,75.69,8.8,0.7,1.96,2.19,,,,4.5,71.74,,,,,,,
4/17/2000,0.3,106.96,15.1,0.56,1.95,3.7,,,,4.5,55.47,-55.58,,,,,,
4/18/2000,0.1,92.33,13.5,0.65,1.94,2.67,,,,4.5,78.81,-62.23,,,,,,
4/19/2000,0,125.91,15.3,0.76,1.94,3.22,,,,4.5,92.41,,,,,,,
4/20/2000,0,112.73,13.5,0.77,1.93,2.61,,,,4.5,95.21,,,,,,,
4/21/2000,0,129.23,15.8,0.74,1.92,3.38,,,,4.5,58.82,,,,,,,
4/22/2000,0,130.04,19.8,0.63,1.91,4.05,,,,4.5,73.48,,,,,,,
4/23/2000,0,127.62,22.6,0.43,1.96,5.99,,,,4.5,73.15,,,,,,,
4/24/2000,0,133.72,18.1,0.62,2,4.94,,,,4.5,87.62,,,,,,,
4/25/2000,0,45.03,11.6,0.85,2.04,1.22,,,,4.5,72.34,,,,,,,
4/26/2000,0,83.77,16,0.75,2.08,2.48,,,,4.5,59.01,,,,,,,
4/27/2000,0,138.61,19.6,0.6,2.13,4.62,,,,4.5,81.85,,,,,,,
4/28/2000,0,137.16,20.4,0.58,2.17,5.53,,,,4.5,87.22,,,,,,,
4/29/2000,0,131.25,20.3,0.51,2.21,5.7,,,,4.5,67.66,,,,,,,
4/30/2000,0,141.07,19.3,0.58,2.25,4.43,,,,4.5,65.99,,,,,,,
5/1/2000,0.8,128.56,19.4,0.59,2.28,4.01,,,,4.5,62.76,-16.25,,,,,,
5/2/2000,0,139.47,14.8,0.5,2.3,4.88,,,,4.5,93.88,,,,,,,
5/3/2000,0,127.56,13.2,0.46,2.33,4.17,,,,4.5,69.47,,,,,,,
5/4/2000,0,135.97,14.4,0.52,2.35,3.96,,,,4.5,61.45,,,,,,,
5/5/2000,0,142.67,15.9,0.54,2.38,4.28,,,,4.5,73.39,,,,,,,
5/6/2000,0,144.62,17.3,0.52,2.4,4.71,,,,4.5,84.47,,,,,,,
5/7/2000,0,146.46,18.3,0.5,2.43,5.15,,,,4.5,75.2,,,,,,,
5/8/2000,0,135.31,19.2,0.51,2.45,5.3,,,,4.5,82.08,,,,,,,
5/9/2000,0.3,140.85,18.3,0.71,2.51,3.73,,,,4.5,51.97,-69.42,,,,,,
5/10/2000,0,150.17,19.6,0.66,2.57,4.17,,,,4.5,61.16,,,,,,,
5/11/2000,0,155.24,19.5,0.54,2.62,5.24,,,,4.5,76.65,,,,,,,
5/12/2000,0,147.55,13.3,0.46,2.68,4.93,,,,4.5,62.24,,,,,,,
5/13/2000,0,148.45,12.6,0.51,2.74,3.85,,,,4.5,74.9,,,,,,,
